100 333 33300
0 0 -175 302
1 0 -175 301
2 0 -175 301
3 0 -176 301
4 0 -178 301
5 0 -180 300
6 0 -180 298
7 0 -178 298
8 0 -179 297
9 0 -179 296
10 0 -177 295
11 0 -176 296
12 0 -176 297
13 0 -175 297
14 0 -173 296
15 0 -173 297
16 0 -176 298
17 0 -174 298
18 0 -171 297
19 0 -171 295
20 0 -173 294
21 0 -174 294
22 0 -175 293
23 0 -175 293
24 0 -176 292
25 0 -177 292
26 0 -178 291
27 0 -178 290
28 0 -179 289
29 0 -179 290
30 0 -178 291
31 0 -177 290
32 0 -176 290
33 0 -176 290
34 0 -177 291
35 0 -176 291
36 0 -175 290
37 0 -175 288
38 0 -176 288
39 0 -177 289
40 0 -180 290
41 0 -180 290
42 0 -181 291
43 0 -182 292
44 0 -182 292
45 0 -182 292
46 0 -180 292
47 0 -179 293
48 0 -180 293
49 0 -180 292
50 0 -178 291
51 0 -178 292
52 0 -179 294
53 0 -179 294
54 0 -178 294
55 0 -178 295
56 0 -179 296
57 0 -180 297
58 0 -181 299
59 0 -180 300
60 0 -181 300
61 0 -181 299
62 0 -180 298
63 0 -179 297
64 0 -179 297
65 0 -178 296
66 0 -177 295
67 0 -175 293
68 0 -174 292
69 0 -175 293
70 0 -177 294
71 0 -176 294
72 0 -175 294
73 0 -174 294
74 0 -173 295
75 0 -172 296
76 0 -173 296
77 0 -173 296
78 0 -174 296
79 0 -176 295
80 0 -177 294
81 0 -177 292
82 0 -179 292
83 0 -181 291
84 0 -181 291
85 0 -180 291
86 0 -181 291
87 0 -182 291
88 0 -183 291
89 0 -183 291
90 0 -181 290
91 0 -181 288
92 0 -183 288
93 0 -184 289
94 0 -185 291
95 0 -185 291
96 0 -186 291
97 0 -188 290
98 0 -188 289
99 0 -187 288
0 1 -177 320
1 1 -177 319
2 1 -177 319
3 1 -178 319
4 1 -180 319
5 1 -182 318
6 1 -182 317
7 1 -180 316
8 1 -181 315
9 1 -181 314
10 1 -179 314
11 1 -178 314
12 1 -178 315
13 1 -178 315
14 1 -175 314
15 1 -175 315
16 1 -178 316
17 1 -176 316
18 1 -173 315
19 1 -173 313
20 1 -175 312
21 1 -176 312
22 1 -176 311
23 1 -176 311
24 1 -178 310
25 1 -179 310
26 1 -180 309
27 1 -180 308
28 1 -181 307
29 1 -181 308
30 1 -180 309
31 1 -179 308
32 1 -178 308
33 1 -178 308
34 1 -179 309
35 1 -178 309
36 1 -176 308
37 1 -176 306
38 1 -178 306
39 1 -179 307
40 1 -182 308
41 1 -182 308
42 1 -183 309
43 1 -184 310
44 1 -184 310
45 1 -184 310
46 1 -183 310
47 1 -181 311
48 1 -182 311
49 1 -182 310
50 1 -180 309
51 1 -180 310
52 1 -181 312
53 1 -181 312
54 1 -180 312
55 1 -180 313
56 1 -181 314
57 1 -182 315
58 1 -183 317
59 1 -183 318
60 1 -183 318
61 1 -183 317
62 1 -182 316
63 1 -181 316
64 1 -181 315
65 1 -180 314
66 1 -179 313
67 1 -177 311
68 1 -176 310
69 1 -177 311
70 1 -179 312
71 1 -178 312
72 1 -177 312
73 1 -176 312
74 1 -175 313
75 1 -174 314
76 1 -175 314
77 1 -175 314
78 1 -176 314
79 1 -178 313
80 1 -179 312
81 1 -180 310
82 1 -181 310
83 1 -183 309
84 1 -183 309
85 1 -183 310
86 1 -183 309
87 1 -184 309
88 1 -186 309
89 1 -185 309
90 1 -184 308
91 1 -183 306
92 1 -185 306
93 1 -186 307
94 1 -187 309
95 1 -187 309
96 1 -188 309
97 1 -190 308
98 1 -190 307
99 1 -189 306
0 2 276 -238
1 2 275 -238
2 2 275 -238
3 2 274 -238
4 2 271 -239
5 2 270 -240
6 2 271 -241
7 2 272 -241
8 2 271 -242
9 2 272 -243
10 2 273 -243
11 2 274 -243
12 2 274 -242
13 2 276 -242
14 2 278 -242
15 2 276 -241
16 2 274 -241
17 2 277 -241
18 2 280 -242
19 2 279 -244
20 2 278 -245
21 2 276 -245
22 2 276 -245
23 2 276 -245
24 2 274 -246
25 2 273 -246
26 2 273 -246
27 2 273 -247
28 2 272 -248
29 2 273 -247
30 2 274 -246
31 2 274 -247
32 2 275 -247
33 2 274 -246
34 2 274 -246
35 2 275 -247
36 2 276 -248
37 2 276 -248
38 2 275 -248
39 2 273 -246
40 2 271 -246
41 2 270 -246
42 2 269 -244
43 2 269 -244
44 2 269 -244
45 2 270 -243
46 2 271 -244
47 2 272 -243
48 2 270 -244
49 2 271 -244
50 2 272 -245
51 2 273 -244
52 2 271 -243
53 2 271 -243
54 2 273 -242
55 2 273 -241
56 2 272 -241
57 2 272 -239
58 2 271 -237
59 2 272 -237
60 2 271 -237
61 2 271 -238
62 2 272 -239
63 2 273 -240
64 2 274 -240
65 2 275 -241
66 2 277 -242
67 2 278 -244
68 2 278 -244
69 2 276 -243
70 2 275 -243
71 2 276 -243
72 2 277 -242
73 2 279 -242
74 2 280 -240
75 2 280 -240
76 2 280 -240
77 2 280 -240
78 2 278 -240
79 2 277 -241
80 2 277 -242
81 2 275 -243
82 2 273 -243
83 2 273 -244
84 2 273 -243
85 2 273 -243
86 2 273 -243
87 2 271 -243
88 2 270 -243
89 2 271 -244
90 2 272 -245
91 2 272 -245
92 2 270 -245
93 2 269 -244
94 2 268 -243
95 2 267 -243
96 2 266 -243
97 2 264 -245
98 2 264 -246
99 2 266 -246
0 3 -143 361
1 3 -143 360
2 3 -143 360
3 3 -144 360
4 3 -146 360
5 3 -148 359
6 3 -147 358
7 3 -146 357
8 3 -147 356
9 3 -147 355
10 3 -145 354
11 3 -144 355
12 3 -144 356
13 3 -144 356
14 3 -141 355
15 3 -141 356
16 3 -144 357
17 3 -142 357
18 3 -139 356
19 3 -139 354
20 3 -141 353
21 3 -142 353
22 3 -143 352
23 3 -143 352
24 3 -144 351
25 3 -145 351
26 3 -146 350
27 3 -146 349
28 3 -147 348
29 3 -147 349
30 3 -146 350
31 3 -145 349
32 3 -144 349
33 3 -144 349
34 3 -145 350
35 3 -144 350
36 3 -143 349
37 3 -143 347
38 3 -144 347
39 3 -145 348
40 3 -148 349
41 3 -148 349
42 3 -149 350
43 3 -150 351
44 3 -150 351
45 3 -150 351
46 3 -149 351
47 3 -147 351
48 3 -148 352
49 3 -148 351
50 3 -146 350
51 3 -146 351
52 3 -147 353
53 3 -147 353
54 3 -146 353
55 3 -146 354
56 3 -147 355
57 3 -148 356
58 3 -149 358
59 3 -149 359
60 3 -149 359
61 3 -149 358
62 3 -148 357
63 3 -147 357
64 3 -147 356
65 3 -146 355
66 3 -145 354
67 3 -143 352
68 3 -142 351
69 3 -143 352
70 3 -145 353
71 3 -144 353
72 3 -143 353
73 3 -142 353
74 3 -142 354
75 3 -141 355
76 3 -141 355
77 3 -141 355
78 3 -143 355
79 3 -145 354
80 3 -145 353
81 3 -146 351
82 3 -148 351
83 3 -149 350
84 3 -149 350
85 3 -149 351
86 3 -149 350
87 3 -150 350
88 3 -152 350
89 3 -151 350
90 3 -150 349
91 3 -149 348
92 3 -151 347
93 3 -153 348
94 3 -153 350
95 3 -153 350
96 3 -154 350
97 3 -156 349
98 3 -157 348
99 3 -155 347
0 4 46 411
1 4 45 410
2 4 45 410
3 4 45 410
4 4 43 410
5 4 40 409
6 4 41 407
7 4 42 407
8 4 41 406
9 4 41 405
10 4 43 404
11 4 44 405
12 4 44 406
13 4 44 406
14 4 47 405
15 4 47 406
16 4 44 407
17 4 45 407
18 4 49 406
19 4 49 404
20 4 47 403
21 4 46 403
22 4 45 402
23 4 45 402
24 4 44 401
25 4 42 401
26 4 42 401
27 4 42 399
28 4 41 399
29 4 40 399
30 4 41 400
31 4 42 400
32 4 43 399
33 4 43 399
34 4 43 400
35 4 44 400
36 4 45 399
37 4 45 398
38 4 43 397
39 4 42 399
40 4 40 399
41 4 39 400
42 4 38 400
43 4 37 401
44 4 37 401
45 4 37 401
46 4 38 402
47 4 40 402
48 4 40 402
49 4 40 401
50 4 41 401
51 4 41 401
52 4 41 403
53 4 41 403
54 4 42 403
55 4 42 405
56 4 41 405
57 4 40 406
58 4 39 408
59 4 39 409
60 4 39 410
61 4 39 409
62 4 40 408
63 4 41 407
64 4 41 407
65 4 42 406
66 4 43 405
67 4 45 403
68 4 46 402
69 4 44 403
70 4 43 403
71 4 44 403
72 4 45 404
73 4 46 404
74 4 46 405
75 4 47 406
76 4 47 406
77 4 46 406
78 4 45 406
79 4 43 405
80 4 43 404
81 4 42 403
82 4 40 402
83 4 39 401
84 4 39 401
85 4 39 402
86 4 38 402
87 4 37 401
88 4 36 401
89 4 36 401
90 4 37 400
91 4 38 399
92 4 36 398
93 4 35 399
94 4 35 401
95 4 34 401
96 4 33 401
97 4 31 400
98 4 31 399
99 4 32 398
0 5 619 496
1 5 618 496
2 5 617 495
3 5 618 495
4 5 616 495
5 5 613 493
6 5 613 492
7 5 614 492
8 5 613 491
9 5 613 491
10 5 615 490
11 5 616 490
12 5 616 491
13 5 617 491
14 5 619 491
15 5 620 492
16 5 617 492
17 5 618 492
18 5 622 492
19 5 621 491
20 5 619 489
21 5 618 489
22 5 617 488
23 5 617 488
24 5 616 488
25 5 614 487
26 5 613 487
27 5 613 486
28 5 612 485
29 5 612 486
30 5 613 486
31 5 613 486
32 5 615 486
33 5 614 485
34 5 614 486
35 5 615 485
36 5 616 485
37 5 616 484
38 5 614 484
39 5 613 486
40 5 611 487
41 5 610 487
42 5 609 487
43 5 608 488
44 5 608 488
45 5 608 489
46 5 610 489
47 5 612 489
48 5 611 488
49 5 611 488
50 5 613 487
51 5 613 487
52 5 613 489
53 5 613 489
54 5 614 489
55 5 615 492
56 5 613 493
57 5 613 494
58 5 611 496
59 5 612 497
60 5 612 497
61 5 612 497
62 5 612 495
63 5 614 495
64 5 614 495
65 5 615 494
66 5 616 493
67 5 617 492
68 5 618 491
69 5 617 491
70 5 615 491
71 5 616 491
72 5 617 491
73 5 618 492
74 5 619 494
75 5 620 495
76 5 619 495
77 5 619 495
78 5 618 495
79 5 616 494
80 5 615 493
81 5 614 492
82 5 612 492
83 5 610 491
84 5 610 491
85 5 610 492
86 5 610 491
87 5 609 491
88 5 607 490
89 5 608 490
90 5 609 489
91 5 609 489
92 5 607 488
93 5 606 489
94 5 606 490
95 5 605 490
96 5 604 490
97 5 602 489
98 5 602 487
99 5 603 487
0 6 279 -248
1 6 278 -248
2 6 278 -248
3 6 277 -248
4 6 274 -249
5 6 273 -250
6 6 274 -251
7 6 275 -251
8 6 274 -252
9 6 275 -253
10 6 276 -253
11 6 277 -252
12 6 277 -252
13 6 279 -252
14 6 281 -252
15 6 279 -251
16 6 277 -251
17 6 280 -251
18 6 283 -252
19 6 282 -254
20 6 280 -255
21 6 279 -254
22 6 279 -255
23 6 279 -255
24 6 277 -256
25 6 276 -256
26 6 276 -256
27 6 276 -257
28 6 275 -258
29 6 276 -257
30 6 277 -256
